ID,exit,entry,Run,Frames
97,3157.0,1682.0,10,1475.0
98,2210.0,1089.0,10,1121.0
99,2629.0,1290.0,10,1339.0
34,4539.0,3064.0,11,1475.0
35,4257.0,2987.0,11,1270.0
36,4011.0,2899.0,11,1112.0
37,3578.0,2423.0,11,1155.0
38,4202.0,2542.0,11,1660.0
39,3110.0,1800.0,11,1310.0
40,3422.0,2132.0,11,1290.0
41,2947.0,1715.0,11,1232.0
42,3108.0,1794.0,11,1314.0
43,2675.0,1383.0,11,1292.0
44,2330.0,1228.0,11,1102.0
48,4157.0,2812.0,11,1345.0
49,3527.0,2284.0,11,1243.0
5,4481.0,3100.0,11,1381.0
50,3279.0,1872.0,11,1407.0
51,3120.0,1967.0,11,1153.0
52,2707.0,1563.0,11,1144.0
53,2510.0,1498.0,11,1012.0
54,2086.0,1138.0,11,948.0
55,2118.0,1173.0,11,945.0
56,4097.0,2706.0,11,1391.0
57,3647.0,2372.0,11,1275.0
59,3811.0,2480.0,11,1331.0
60,3374.0,2004.0,11,1370.0
61,3330.0,2149.0,11,1181.0
62,3245.0,1920.0,11,1325.0
63,2329.0,1227.0,11,1102.0
64,2368.0,1311.0,11,1057.0
65,2309.0,1273.0,11,1036.0
66,1960.0,1046.0,11,914.0
67,4408.0,2907.0,11,1501.0
69,3885.0,2614.0,11,1271.0
7,3205.0,1864.0,11,1341.0
70,3511.0,2226.0,11,1285.0
71,3213.0,1954.0,11,1259.0
72,2687.0,1640.0,11,1047.0
73,3020.0,1781.0,11,1239.0
74,2457.0,1439.0,11,1018.0
75,2530.0,1389.0,11,1141.0
76,2251.0,1187.0,11,1064.0
77,2171.0,1132.0,11,1039.0
79,4532.0,3148.0,11,1384.0
8,3678.0,2419.0,11,1259.0
80,3904.0,2551.0,11,1353.0
81,4315.0,2866.0,11,1449.0
82,3710.0,2331.0,11,1379.0
83,2999.0,1724.0,11,1275.0
84,2549.0,1483.0,11,1066.0
85,2439.0,1298.0,11,1141.0
86,2250.0,1231.0,11,1019.0
87,2624.0,1434.0,11,1190.0
88,2019.0,979.0,11,1040.0
9,2861.0,1665.0,11,1196.0
91,4655.0,3110.0,11,1545.0
93,4278.0,2877.0,11,1401.0
94,3927.0,2249.0,11,1678.0
95,4106.0,2603.0,11,1503.0
96,2938.0,1548.0,11,1390.0
97,3402.0,2006.0,11,1396.0
98,2789.0,1351.0,11,1438.0
99,4372.0,3003.0,11,1369.0
33,1942.0,1050.0,12,892.0
36,4977.0,3290.0,12,1687.0
37,4059.0,2847.0,12,1212.0
38,3695.0,2463.0,12,1232.0
39,3285.0,2021.0,12,1264.0
4,3961.0,2495.0,12,1466.0
40,2459.0,1326.0,12,1133.0
41,3522.0,2272.0,12,1250.0
42,2338.0,1172.0,12,1166.0
43,2383.0,1236.0,12,1147.0
44,2240.0,1178.0,12,1062.0
45,4626.0,3215.0,12,1411.0
46,4695.0,3063.0,12,1632.0
47,4110.0,2750.0,12,1360.0
48,3293.0,2025.0,12,1268.0
49,3632.0,2219.0,12,1413.0
5,4161.0,2680.0,12,1481.0
